type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data;timestamp;sf;bw;config;sf_category;time_minutes;time_diff_seconds;time_diff_seconds_within_config;temperature
24;0000B827EB24A52C;20;5;-85;20;5;SF7BW125;2025-07-04 18:40:50;"{""RSSI"": -85, ""SNR"": 5, ""TC"": 28.6}";2025-07-04 18:40:50;7;125;7_BW125_20B;MIN-SF7;1.1666666666666667;12.0;0.0;28.6
24;0000B827EB24A52C;20;6;-84;20;5;SF7BW125;2025-07-04 18:41:05;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 23.0}";2025-07-04 18:41:05;7;125;7_BW125_20B;MIN-SF7;1.4166666666666667;15.0;15.0;23.0
24;0000B827EB24A52C;20;5;-83;20;5;SF7BW125;2025-07-04 18:41:21;"{""RSSI"": -83, ""SNR"": 5, ""TC"": 26.12}";2025-07-04 18:41:21;7;125;7_BW125_20B;MIN-SF7;1.6833333333333333;16.0;16.0;26.12
24;0000B827EB24A52C;20;5;-84;20;5;SF7BW125;2025-07-04 18:41:36;"{""RSSI"": -84, ""SNR"": 5, ""TC"": 25.75}";2025-07-04 18:41:36;7;125;7_BW125_20B;MIN-SF7;1.9333333333333333;15.0;15.0;25.75
24;0000B827EB24A52C;20;6;-84;20;5;SF7BW125;2025-07-04 18:41:51;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 21.62}";2025-07-04 18:41:51;7;125;7_BW125_20B;MIN-SF7;2.183333333333333;15.0;15.0;21.62
24;0000B827EB24A52C;20;5;-83;20;5;SF7BW125;2025-07-04 18:42:07;"{""RSSI"": -83, ""SNR"": 5, ""TC"": 26.05}";2025-07-04 18:42:07;7;125;7_BW125_20B;MIN-SF7;2.45;16.0;16.0;26.05
24;0000B827EB24A52C;20;6;-84;20;5;SF7BW125;2025-07-04 18:42:22;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 20.06}";2025-07-04 18:42:22;7;125;7_BW125_20B;MIN-SF7;2.7;15.0;15.0;20.06
24;0000B827EB24A52C;20;6;-83;20;5;SF7BW125;2025-07-04 18:42:37;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 23.37}";2025-07-04 18:42:37;7;125;7_BW125_20B;MIN-SF7;2.95;15.0;15.0;23.37
24;0000B827EB24A52C;20;6;-82;20;5;SF7BW125;2025-07-04 18:42:53;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 25.54}";2025-07-04 18:42:53;7;125;7_BW125_20B;MIN-SF7;3.216666666666667;16.0;16.0;25.54
24;0000B827EB24A52C;20;6;-84;20;5;SF7BW125;2025-07-04 18:43:08;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 22.65}";2025-07-04 18:43:08;7;125;7_BW125_20B;MIN-SF7;3.466666666666667;15.0;15.0;22.65
24;0000B827EB24A52C;20;5;-83;20;5;SF7BW125;2025-07-04 18:43:23;"{""RSSI"": -83, ""SNR"": 5, ""TC"": 21.32}";2025-07-04 18:43:23;7;125;7_BW125_20B;MIN-SF7;3.716666666666667;15.0;15.0;21.32
24;0000B827EB24A52C;20;5;-86;20;5;SF7BW125;2025-07-04 18:43:39;"{""RSSI"": -86, ""SNR"": 5, ""TC"": 26.56}";2025-07-04 18:43:39;7;125;7_BW125_20B;MIN-SF7;3.9833333333333334;16.0;16.0;26.56
24;0000B827EB24A52C;20;6;-82;20;5;SF7BW125;2025-07-04 18:43:54;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 25.76}";2025-07-04 18:43:54;7;125;7_BW125_20B;MIN-SF7;4.233333333333333;15.0;15.0;25.76
24;0000B827EB24A52C;20;5;-84;20;5;SF7BW125;2025-07-04 18:44:10;"{""RSSI"": -84, ""SNR"": 5, ""TC"": 21.13}";2025-07-04 18:44:10;7;125;7_BW125_20B;MIN-SF7;4.5;16.0;16.0;21.13
24;0000B827EB24A52C;20;5;-85;20;5;SF7BW125;2025-07-04 18:44:25;"{""RSSI"": -85, ""SNR"": 5, ""TC"": 25.35}";2025-07-04 18:44:25;7;125;7_BW125_20B;MIN-SF7;4.75;15.0;15.0;25.35
24;0000B827EB24A52C;20;6;-84;20;5;SF7BW125;2025-07-04 18:44:40;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 23.37}";2025-07-04 18:44:40;7;125;7_BW125_20B;MIN-SF7;5.0;15.0;15.0;23.37
24;0000B827EB24A52C;20;6;-83;20;5;SF7BW125;2025-07-04 18:44:56;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 22.6}";2025-07-04 18:44:56;7;125;7_BW125_20B;MIN-SF7;5.266666666666667;16.0;16.0;22.6
