type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EBDCE0CD;10;6;-93;20;5;SF7BW125;2025-07-03 16:44:58;{"RSSI": -93, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-93;20;5;SF7BW125;2025-07-03 16:45:13;{"RSSI": -93, "SNR": 6, "TC": 24.43}
255;0000B827EBDCE0CD;0;0;0;23;5;SF12BW125;2025-07-03 16:45:14;{"RSSI": 0, "SNR": 0, "DEF": "MIN-SF7-BW125-T20-START"}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 16:45:28;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-94;20;5;SF7BW125;2025-07-03 16:45:43;{"RSSI": -94, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-94;20;5;SF7BW125;2025-07-03 16:45:59;{"RSSI": -94, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-94;20;5;SF7BW125;2025-07-03 16:46:14;{"RSSI": -94, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-95;20;5;SF7BW125;2025-07-03 16:46:29;{"RSSI": -95, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;4;-96;20;5;SF7BW125;2025-07-03 16:46:44;{"RSSI": -96, "SNR": 4, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-96;20;5;SF7BW125;2025-07-03 16:47:00;{"RSSI": -96, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-94;20;5;SF7BW125;2025-07-03 16:47:15;{"RSSI": -94, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-94;20;5;SF7BW125;2025-07-03 16:47:30;{"RSSI": -94, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-95;20;5;SF7BW125;2025-07-03 16:47:45;{"RSSI": -95, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-93;20;5;SF7BW125;2025-07-03 16:48:00;{"RSSI": -93, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-94;20;5;SF7BW125;2025-07-03 16:48:16;{"RSSI": -94, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-95;20;5;SF7BW125;2025-07-03 16:48:31;{"RSSI": -95, "SNR": 6, "TC": 24.43}
24;0000B827EBDCE0CD;10;6;-95;20;5;SF7BW125;2025-07-03 16:48:46;{"RSSI": -95, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-95;20;5;SF7BW125;2025-07-03 16:49:01;{"RSSI": -95, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-95;20;5;SF7BW125;2025-07-03 16:49:17;{"RSSI": -95, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-98;20;5;SF7BW125;2025-07-03 16:49:32;{"RSSI": -98, "SNR": 5, "TC": 24.43}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 16:49:47;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-96;20;5;SF7BW125;2025-07-03 16:50:02;{"RSSI": -96, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-96;20;5;SF7BW125;2025-07-03 16:50:17;{"RSSI": -96, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 16:50:33;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-94;20;5;SF7BW125;2025-07-03 16:50:48;{"RSSI": -94, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;3;-97;20;5;SF7BW125;2025-07-03 16:51:03;{"RSSI": -97, "SNR": 3, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-95;20;5;SF7BW125;2025-07-03 16:51:18;{"RSSI": -95, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-96;20;5;SF7BW125;2025-07-03 16:51:34;{"RSSI": -96, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-98;20;5;SF7BW125;2025-07-03 16:51:49;{"RSSI": -98, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-97;20;5;SF7BW125;2025-07-03 16:52:04;{"RSSI": -97, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;2;-102;20;5;SF7BW125;2025-07-03 16:52:19;{"RSSI": -102, "SNR": 2, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-91;20;5;SF7BW125;2025-07-03 16:52:34;{"RSSI": -91, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-91;20;5;SF7BW125;2025-07-03 16:52:50;{"RSSI": -91, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-94;20;5;SF7BW125;2025-07-03 16:53:05;{"RSSI": -94, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-94;20;5;SF7BW125;2025-07-03 16:53:20;{"RSSI": -94, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-94;20;5;SF7BW125;2025-07-03 16:53:35;{"RSSI": -94, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 16:53:50;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 16:54:06;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-100;20;5;SF7BW125;2025-07-03 16:54:38;{"RSSI": -100, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-98;20;5;SF7BW125;2025-07-03 16:54:53;{"RSSI": -98, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-99;20;5;SF7BW125;2025-07-03 16:55:08;{"RSSI": -99, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-98;20;5;SF7BW125;2025-07-03 16:55:24;{"RSSI": -98, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 16:55:39;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 16:55:54;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-96;20;5;SF7BW125;2025-07-03 16:56:09;{"RSSI": -96, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-96;20;5;SF7BW125;2025-07-03 16:56:25;{"RSSI": -96, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 16:56:40;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-97;20;5;SF7BW125;2025-07-03 16:56:55;{"RSSI": -97, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 16:57:10;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-98;20;5;SF7BW125;2025-07-03 16:57:25;{"RSSI": -98, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-98;20;5;SF7BW125;2025-07-03 16:57:41;{"RSSI": -98, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 16:57:56;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-99;20;5;SF7BW125;2025-07-03 16:58:11;{"RSSI": -99, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-98;20;5;SF7BW125;2025-07-03 16:58:26;{"RSSI": -98, "SNR": 5, "TC": 24.5}
