type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EB24A52C;20;6;-83;20;5;SF7BW125;2025-07-04 14:34:28;{"RSSI": -83, "SNR": 6, "TC": 26.03}
24;0000B827EB24A52C;20;5;-85;20;5;SF7BW125;2025-07-04 14:34:44;{"RSSI": -85, "SNR": 5, "TC": 20.03}
24;0000B827EB24A52C;20;5;-84;20;5;SF7BW125;2025-07-04 14:34:59;{"RSSI": -84, "SNR": 5, "TC": 20.85}
24;0000B827EB24A52C;20;6;-83;20;5;SF7BW125;2025-07-04 14:35:14;{"RSSI": -83, "SNR": 6, "TC": 22.59}
24;0000B827EB24A52C;20;5;-87;20;5;SF7BW125;2025-07-04 14:35:30;{"RSSI": -87, "SNR": 5, "TC": 20.29}
24;0000B827EB24A52C;20;5;-87;20;5;SF12BW125;2025-07-04 14:38:02;{"RSSI": -87, "SNR": 5, "TC": 23.57}
24;0000B827EB24A52C;20;5;-88;20;5;SF12BW125;2025-07-04 14:38:20;{"RSSI": -88, "SNR": 5, "TC": 25.76}
24;0000B827EB24A52C;20;6;-88;20;5;SF12BW125;2025-07-04 14:38:58;{"RSSI": -88, "SNR": 6, "TC": 25.79}
24;0000B827EB24A52C;20;6;-86;20;5;SF12BW125;2025-07-04 14:39:16;{"RSSI": -86, "SNR": 6, "TC": 28.73}
255;0000B827EB24A52C;0;0;0;24;5;SF12BW125;2025-07-04 14:39:18;{"RSSI": 0, "SNR": 0, "DEF": "MAX-SF12-BW125-T20-START"}
24;0000B827EB24A52C;20;6;-85;20;5;SF12BW125;2025-07-04 14:39:34;{"RSSI": -85, "SNR": 6, "TC": 21.42}
24;0000B827EB24A52C;20;6;-85;20;5;SF12BW125;2025-07-04 14:39:53;{"RSSI": -85, "SNR": 6, "TC": 28.7}
24;0000B827EB24A52C;20;6;-87;20;5;SF12BW125;2025-07-04 14:40:11;{"RSSI": -87, "SNR": 6, "TC": 20.79}
24;0000B827EB24A52C;20;7;-84;20;5;SF12BW125;2025-07-04 14:40:29;{"RSSI": -84, "SNR": 7, "TC": 21.7}
24;0000B827EB24A52C;20;7;-83;20;5;SF12BW125;2025-07-04 14:40:47;{"RSSI": -83, "SNR": 7, "TC": 26.22}
24;0000B827EB24A52C;20;7;-83;20;5;SF12BW125;2025-07-04 14:41:06;{"RSSI": -83, "SNR": 7, "TC": 25.7}
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW125;2025-07-04 14:41:24;{"RSSI": -82, "SNR": 6, "TC": 23.18}
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW125;2025-07-04 14:41:42;{"RSSI": -82, "SNR": 6, "TC": 23.98}
24;0000B827EB24A52C;20;6;-81;20;5;SF12BW125;2025-07-04 14:42:01;{"RSSI": -81, "SNR": 6, "TC": 26.2}
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW125;2025-07-04 14:42:19;{"RSSI": -82, "SNR": 6, "TC": 28.23}
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW125;2025-07-04 14:42:37;{"RSSI": -82, "SNR": 6, "TC": 23.57}
24;0000B827EB24A52C;20;7;-83;20;5;SF12BW125;2025-07-04 14:42:55;{"RSSI": -83, "SNR": 7, "TC": 23.7}
