type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EB24A52C;20;6;-75;20;5;SF7BW125;2025-07-06 18:17:04;{"RSSI": -75, "SNR": 6, "TC": 23.31}
24;0000B827EB24A52C;20;6;-75;20;5;SF7BW125;2025-07-06 18:17:19;{"RSSI": -75, "SNR": 6, "TC": 28.8}
255;0000B827EB24A52C;0;0;0;23;5;SF12BW125;2025-07-06 18:17:27;{"RSSI": 0, "SNR": 0, "DEF": "MIN-SF7-BW125-T20-START"}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:17:35;{"RSSI": -73, "SNR": 6, "TC": 20.46}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:17:50;{"RSSI": -73, "SNR": 6, "TC": 20.14}
24;0000B827EB24A52C;20;7;-74;20;5;SF7BW125;2025-07-06 18:18:06;{"RSSI": -74, "SNR": 7, "TC": 24.61}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:18:21;{"RSSI": -74, "SNR": 6, "TC": 26.26}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:18:36;{"RSSI": -73, "SNR": 6, "TC": 23.62}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:18:52;{"RSSI": -73, "SNR": 6, "TC": 25.59}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:19:07;{"RSSI": -74, "SNR": 6, "TC": 20.35}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:19:22;{"RSSI": -74, "SNR": 6, "TC": 20.22}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:19:38;{"RSSI": -73, "SNR": 6, "TC": 21.59}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:19:53;{"RSSI": -73, "SNR": 6, "TC": 21.64}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:20:08;{"RSSI": -73, "SNR": 6, "TC": 27.45}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:20:24;{"RSSI": -74, "SNR": 6, "TC": 25.2}
24;0000B827EB24A52C;20;6;-75;20;5;SF7BW125;2025-07-06 18:20:39;{"RSSI": -75, "SNR": 6, "TC": 23.51}
24;0000B827EB24A52C;20;7;-74;20;5;SF7BW125;2025-07-06 18:20:55;{"RSSI": -74, "SNR": 7, "TC": 28.43}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:21:09;{"RSSI": -74, "SNR": 6, "TC": 25.98}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:21:25;{"RSSI": -74, "SNR": 6, "TC": 21.61}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:21:40;{"RSSI": -74, "SNR": 6, "TC": 20.54}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:21:55;{"RSSI": -73, "SNR": 6, "TC": 26.94}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:22:11;{"RSSI": -73, "SNR": 6, "TC": 22.72}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:22:26;{"RSSI": -73, "SNR": 6, "TC": 20.01}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:22:41;{"RSSI": -74, "SNR": 6, "TC": 28.57}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:22:57;{"RSSI": -73, "SNR": 6, "TC": 23.9}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:23:12;{"RSSI": -73, "SNR": 6, "TC": 23.8}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:23:45;{"RSSI": -74, "SNR": 6, "TC": 26.89}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:24:00;{"RSSI": -74, "SNR": 6, "TC": 24.54}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:24:15;{"RSSI": -73, "SNR": 6, "TC": 20.39}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:24:31;{"RSSI": -73, "SNR": 6, "TC": 21.6}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:24:46;{"RSSI": -73, "SNR": 6, "TC": 22.81}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:25:02;{"RSSI": -73, "SNR": 6, "TC": 24.64}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:25:17;{"RSSI": -74, "SNR": 6, "TC": 21.14}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:25:49;{"RSSI": -74, "SNR": 6, "TC": 27.25}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:26:05;{"RSSI": -74, "SNR": 6, "TC": 24.86}
24;0000B827EB24A52C;20;6;-75;20;5;SF7BW125;2025-07-06 18:26:20;{"RSSI": -75, "SNR": 6, "TC": 26.45}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:26:35;{"RSSI": -73, "SNR": 6, "TC": 22.93}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:26:51;{"RSSI": -73, "SNR": 6, "TC": 28.8}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:27:06;{"RSSI": -73, "SNR": 6, "TC": 25.95}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:27:22;{"RSSI": -74, "SNR": 6, "TC": 28.65}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:27:37;{"RSSI": -73, "SNR": 6, "TC": 24.61}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:27:52;{"RSSI": -74, "SNR": 6, "TC": 27.59}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:28:08;{"RSSI": -73, "SNR": 6, "TC": 20.19}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:28:23;{"RSSI": -74, "SNR": 6, "TC": 26.92}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:28:38;{"RSSI": -74, "SNR": 6, "TC": 22.8}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:28:56;{"RSSI": -73, "SNR": 6, "TC": 21.04}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:29:11;{"RSSI": -74, "SNR": 6, "TC": 24.18}
24;0000B827EB24A52C;20;7;-73;20;5;SF7BW125;2025-07-06 18:29:26;{"RSSI": -73, "SNR": 7, "TC": 25.62}
24;0000B827EB24A52C;20;7;-74;20;5;SF7BW125;2025-07-06 18:29:42;{"RSSI": -74, "SNR": 7, "TC": 20.37}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:29:57;{"RSSI": -73, "SNR": 6, "TC": 27.32}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:30:12;{"RSSI": -73, "SNR": 6, "TC": 24.36}
24;0000B827EB24A52C;20;7;-73;20;5;SF7BW125;2025-07-06 18:30:28;{"RSSI": -73, "SNR": 7, "TC": 27.95}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:30:43;{"RSSI": -73, "SNR": 6, "TC": 25.09}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:30:58;{"RSSI": -74, "SNR": 6, "TC": 20.17}
24;0000B827EB24A52C;20;7;-74;20;5;SF7BW125;2025-07-06 18:31:14;{"RSSI": -74, "SNR": 7, "TC": 26.36}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:31:29;{"RSSI": -73, "SNR": 6, "TC": 24.38}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:31:44;{"RSSI": -73, "SNR": 6, "TC": 28.13}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:32:00;{"RSSI": -74, "SNR": 6, "TC": 27.68}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:32:15;{"RSSI": -74, "SNR": 6, "TC": 22.84}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:32:32;{"RSSI": -74, "SNR": 6, "TC": 26.75}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:32:48;{"RSSI": -74, "SNR": 6, "TC": 26.12}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:33:03;{"RSSI": -74, "SNR": 6, "TC": 23.59}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:33:18;{"RSSI": -73, "SNR": 6, "TC": 26.47}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:33:34;{"RSSI": -74, "SNR": 6, "TC": 24.31}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:33:49;{"RSSI": -74, "SNR": 6, "TC": 27.05}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:34:05;{"RSSI": -73, "SNR": 6, "TC": 23.1}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:34:20;{"RSSI": -73, "SNR": 6, "TC": 21.75}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:34:35;{"RSSI": -73, "SNR": 6, "TC": 20.07}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:34:51;{"RSSI": -74, "SNR": 6, "TC": 26.06}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:35:06;{"RSSI": -74, "SNR": 6, "TC": 25.56}
24;0000B827EB24A52C;20;6;-75;20;5;SF7BW125;2025-07-06 18:35:21;{"RSSI": -75, "SNR": 6, "TC": 21.06}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:35:37;{"RSSI": -73, "SNR": 6, "TC": 25.1}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:35:52;{"RSSI": -73, "SNR": 6, "TC": 28.36}
24;0000B827EB24A52C;20;7;-73;20;5;SF7BW125;2025-07-06 18:36:07;{"RSSI": -73, "SNR": 7, "TC": 21.37}
24;0000B827EB24A52C;20;7;-74;20;5;SF7BW125;2025-07-06 18:36:23;{"RSSI": -74, "SNR": 7, "TC": 22.14}
24;0000B827EB24A52C;20;6;-75;20;5;SF7BW125;2025-07-06 18:36:38;{"RSSI": -75, "SNR": 6, "TC": 22.71}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:36:53;{"RSSI": -74, "SNR": 6, "TC": 23.43}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:37:09;{"RSSI": -73, "SNR": 6, "TC": 22.38}
24;0000B827EB24A52C;20;6;-74;20;5;SF7BW125;2025-07-06 18:37:24;{"RSSI": -74, "SNR": 6, "TC": 27.26}
24;0000B827EB24A52C;20;6;-73;20;5;SF7BW125;2025-07-06 18:37:39;{"RSSI": -73, "SNR": 6, "TC": 23.85}
24;0000B827EB24A52C;20;6;-72;20;5;SF7BW125;2025-07-06 18:37:55;{"RSSI": -72, "SNR": 6, "TC": 26.79}
